UP_list	DOWN_list
ANKRD28	MED25
CATG00000077030.1	SKA2
RP11-218L14.4	PLEKHG5
RPS3	TOM1L2
ZDHHC6	RCOR3
RP11-359E10.1	CTD-2270P14.1
TM2D1	TMEM80
CSF2RA	MFSD4B
NFYC	COL4A4
DNASE1L1	SCYL2
ALMS1	PCTP
OR6K2	PQBP1
ID3	SLC22A6
SYN2	PKM
ECHDC1	PPP6R2
CPNE8	SLC25A1
NDUFB5	CATG00000105296.1
ATP6V1G1	CTHRC1
HNRNPDL	SP5
RAB13	LONRF2
ATP6V1C1	XRRA1
FAM175B	RPGR
BBIP1	NFASC
C20orf141	RP1-90J20.8
ARRB2	YBEY
NAP1L3	ZC2HC1C
TMEM167A	MDM1
AC064853.3	ZDHHC21
AC093415.2	PLEKHF1
PYROXD1	RIMKLB
ARHGEF9	DGKD
COA1	SNRNP70
ZDHHC22	LRRC37B
AC069513.3	EBNA1BP2
CARD19	TOGARAM2
DPH5	PDXDC1
AUTS2	ATF6
CYB561	RCOR3
COX4I1	DCLRE1C
ETNK1	PRLR
NUP155	RP11-909M7.3
MTRF1L	CEPT1
SPINK1	C14orf156
CNTNAP2	NHLRC3
LHX2	pri-3-hsa-mir-3175
SESTD1	SNAP25
ATP9B	PARP6
MSL3	ICA1
CSF2RA	PDE9A
pri-5-hsa-mir-223	DHRSX
MARCO	SCNM1
FAM172A	CHKA
PPIG	ATXN1
CNIH4	SPATA13
THAP11	CHD1L
HPSE2	TJAP1
CEP104	RP11-316P17.2
RWDD4	NOXA1
NSA2	ELMOD3
PARK7	ZKSCAN8
MBOAT2	CPZ
SKIL	OAS1
FXR1	SPG11
FLJ32255	HKR1
ELMO2	MX2
SMA3	AC002303.5
COMMD3-BMI1	ISOC2
DCTN3	ARPIN
YIPF4	ATP8B2
CTBS	MYCBP2
WWC2	ZNF430
FRG1HP	SCNM1
CACNB1	MFSD9
RAD23A	SNRPB
APC2	AIMP2
PDLIM3	KIAA1191
MTPN	MBD4
ZNF280B	SF3B6
ZNF195	NDUFV1
CATG00000042163.1	RPGR
NCF2	ITGA5
DLGAP4	PRRC1
ATP6V1A	CHFR
GLT8D2	LRPAP1
ZNF468	API5
UPP1	HSD17B8
TRAPPC2	USP7
R3HDML	EARS2
LINC00235	VEGFA
YPEL2	GGT1
EIF4H	CMTR2
IRF2BP1	PRKCSH
NEDD4L	EMC3
ING3	CCDC130
CTNND1	NOLC1
PRH2	FAM129B
HNRNPUL1	SNAPC5
ADIPOR1	ST8SIA5
BCCIP	IGFBP2
EMC3	PRPF4
UNC93B1	SRSF4
AMICA1	TNKS1BP1
SLC6A16	CLPSL1
IRGQ	pri-3-hsa-mir-6868
ELAC2	PHB
RAI1	PML
SLC34A3	AP2S1
RPSA	NFS1
SEC11A	SLC25A35
TMBIM4	CTB-50E14.6
CATG00000053260.1	ABCB8
LNP1	DAPP1
CNPPD1	FAM109A
CATG00000004584.1	OSBPL1A
RRP7A	CDK5RAP2
EID2	TRA2A
CACNA1A	UPF3B
C11orf21	MSL2
GRB10	BCL2L11
AC005154.6	COG5
pri-3-hsa-mir-4493	BRPF1
TMEM237	RPL18A
SP7	GGPS1
LINC00431	RAB3GAP2
C12orf57	POGZ
RBM15B	NFX1
SLC30A9	MIEN1
RF00151	PMS2P7
ICE2	TOM1
SLC6A1	RP11-802E16.3
C12orf57	MAD2L1BP
SBSN	NUP160
SCRN3	SEC61G
DOC2A	pri-3-hsa-mir-4444-2
GOPC	SNAPIN
MAML2	WDR83OS
TBC1D2	PSORS1C3
NPR2	C17orf80
KLRD1	RBM23
MRPS18C	APOA2
RP4-714D9.5	pri-5-hsa-mir-125a
DLD	ULBP1
TMA16	TBC1D31
SVIL	PCDH1
SKA2	EFNB3
NDFIP1	TPX2
PLCL1	MAPT
TBR1	SLC45A4
FOLR1	TSSC4
FRA10AC1	CCDC34
POLR3D	ZNF280D
A2M	TMEM185A
GABARAPL2	C1orf43
LRRC75A-AS1	KLHL24
KLHL5	TOM1L1
GPRIN2	CCNT2
REM1	SPP1
RP11-182J1.18	SNX16
AC002365.4	SRP19
TAF9	NCAPH
SNRPB	GAS5
PRKAR1A	GOLPH3L
CTCFL	EMC2
PLRG1	SCG5
SLC29A2	CATG00000013820.1
PSPH	pri-3-hsa-mir-6719
GADD45G	TRAPPC2L
FCAR	MIER1
AK1	TADA3
ZNF384	ZBTB44
RBM26	RTN3
HRAS	DLGAP4
DHRS7	PERM1
RPL26	TFDP2
NOS3	LEMD3
CHCHD3	ACTR1B
RP11-771O11.3	MB21D1
WFDC12	TSC22D2
LAMC2	RNF4
CFP	PPP2R3A
CIR1	RRP15
VSIG4	EPC1
PDK3	HMOX2
HADH	ERC1
CSF2RA	GNPTAB
PECR	GIT2
TMEM126B	COQ10A
YME1L1	DHX15
PRSS37	NDUFS6
EMC1	ZNF335
ARHGEF2	MSANTD2
AAED1	CCDC134
ANG	NCL
KBTBD6	SDHAF3
SGCB	CHAF1A
GLIPR2	METTL9
MKL1	IER3
CCND1	MTMR12
CMKLR1	RP13-122B23.13
RALGAPA1	APC
SRP19	GMPR2
LOC441242	KCNJ15
UTP14C	SEMA4F
ARL6IP1	RP11-540K16.1
PHF3	RPL7
IRAK3	SPECC1L
AP001816.1	TBL1X
CD36	NBPF3
ACTG1P20	TRAPPC4
MAN2A2	PALM2
HCST	B3GALNT2
ECSCR	SF1
HOXB3	TMEM230
LDLRAD1	NFASC
ATP6V1B2	UIMC1
PRMT2	RP13-137A17.6
ACTB	pri-3-hsa-mir-4690
KCNMA1	CRCP
CAP2	hsa-mir-6820
QSOX1	MTF1
LRRC4	NCBP2
SPOCD1	ZNF841
ZNF830	NIT1
RBMS3	IZUMO4
CATG00000052107.1	TSC22D2
DEXI	SLC4A4
C16orf62	RP11-762I7.5
NRP1	ZNF107
LEPR	GAK
pri-3-hsa-mir-4463	IL18BP
TMX1	KIRREL2
SETMAR	SAP30BP
COLEC12	CLTCL1
C17orf62	VEGFA
VTI1B	DDX27
CD163	RCAN3
DBI	JTB
EPS15L1	CH17-360D5.1
LAMA3	TMEM25
LDLR	NOL9
RNF14	ZNF426
RCAN1	TRIM37
HIGD1A	TMC4
SLC12A6	WWP2
NDRG2	TCEA3
CHRDL1	MAPK13
GALNT1	KDELC1
RFPL3S	XRN2
FRA10AC1	HMBS
CABLES1	FAM173A
KLC1	KIAA0907
DGUOK	DNPEP
C2orf47	CTD-2517M22.14
TRIOBP	LIAS
HOMER1	MBD4
KTN1	NONO
SFT2D1	RP11-480I12.3
OPRM1	KIF6
TCEAL9	TUBB
SNX19	ISG20
DMBT1	CAPN13
ZNF595	BRD2
LCE1C	CRELD2
CNOT4	TOM1L2
CTDNEP1	CAMKK2
DNAJC5B	ST6GAL2
CEP78	TBX21
CHMP4A	CAPN3
USP1	hsa-mir-6769b
EPHB6	MLLT10
CA4	TNC
IRF2BPL	TTC13
SECISBP2	CHFR
NFAT5	ZNF138
NUDT5	EPHX3
RPL6	ZNRF3
NFYC	LINC01296
KCNC3	COX6A2
M1AP	USP33
TRAM2	TAF11
ANG	COL5A1
SPTY2D1	GSTO2
OVCH2	TSPAN6
PRKCZ	SCARNA18B
PRRT2	ATXN3
FTCDNL1	WBSCR27
ZNF138	NCKAP1
MMP24	SAFB
RIC1	FAM156A
RAB5A	ARFRP1
TBL1X	BCDIN3D
LOC105370619	PAM16
NMRK1	MLF1
CNOT2	ITGB6
MEMO1	SLC25A13
GLG1	TBC1D31
ACTR3B	SZRD1
RPS24	hsa-mir-518b
MGLL	ZC3H14
ST6GALNAC5	VN1R1
BCCIP	ANKRD26
TLE4	FOXP1
ZDHHC3	GPR161
ADGRL2	ACTL6A
SNHG14	ELOC
VAMP8	DUSP12
FADS2	RBFOX2
SHMT2	MAP7D1
PUDP	LRP5
ARRDC1	HDAC8
DERL2	ANP32E
PCDH17	MTA3
GSX2	PRR13
GSAP	OSBPL2
RWDD1	DCTN2
PAPOLB	RP11-535A19.2
GRK5	CACNA1G
CATG00000032673.1	UBALD2
B4GALT6	USE1
UBE2F	ARFRP1
DLD	ANKRD10
ING3	KCNJ10
PTGES3	RALGAPA1
APP	MOGS
STRADB	ZFAS1
TMEM39B	CD276
NDUFS4	NUP155
TSPAN31	PTDSS2
C11orf72	CHCHD10
TMEM41B	TSPAN10
JADE3	GAREM2
FGGY	STIM1
SLA	C12orf65
ITGA4	AP001476.3
LOC554223	LENG9
TAGAP	CLPB
TGDS	SENP6
SYBU	LYPLAL1
PDCD6	PTK2
MT1G	RASA1
RPS11	RP1-5O6.7
CCT4	IRF7
CLIC2	CARD9
DERL2	CALU
MEOX2	AGER
ZNF703	MTF2
BGN	TRIAP1
UBE2F	TUBGCP4
NR3C1	EFR3A
POM121L12	HLA-F
NT5DC4	LETM2
MYO1D	RP11-93I21.3
RP11-145H9.3	THNSL2
LGR5	TROAP
RP11-38C17.1	PLEC
LOC148696	PSMG4
SPDYA	FDX1L
REPS2	SEC11C
HPGD	DDX19B
B3GALT5	CHTOP
P2RX7	TMEM233
C8orf77	EIF3K
SNHG14	FCHSD2
RP11-80H5.9	PCDH7
TGFB2	PIGG
COMMD10	SORBS1
PABPC1L	WDR37
ESYT2	SRPK2
hsa-mir-1267	MAST4
TYROBP	HUWE1
WDFY3-AS2	ADSSL1
AC098820.3	IQCB1
RP11-495P10.5	WDR73
SOX9	PIH1D2
INHBC	NUMA1
NR1I3	KAZN
NOA1	HSF4
LSAMP	RBMX
C11orf54	CERS5
HOXC-AS5	ARHGEF19
KCNK4	S100B
MIER1	NR1H3
CSNK1A1	ZRANB2
SEC16B	BORCS5
TRPC4AP	PCNP
H3F3A	TAF1
TRIM23	MTR
PITRM1	FBXO32
NECAP1	THAP3
APOA5	RIC8B
AC007389.3	GAP43
OFD1	RERE
ARL8B	ANP32A
NUP98	FXYD1
DR1	RF00091
ATG4B	DPCD
PALMD	EDF1
TRIM35	CHD1L
BCL2L2	CATG00000043915.1
KRT78	RNF145
FKRP	KCNK1
SECISBP2L	pri-3-hsa-mir-326
HRAS	BAIAP2
ILF3	FUS
PCOLCE	C2orf49
WDR59	LILRB5
YPEL5	EHMT2
RAB3D	NDUFS8
CD209	MAN2C1
MATN3	NEK3
FZD8	TBC1D8
INO80D	TRAF3IP1
GLG1	ESPN
CLCF1	IL12RB2
NDUFS3	AC068491.1
CATG00000107360.1	BCOR
PSMA6	IKZF1
hsa-mir-3944	NSMF
ADAL	SF1
ANAPC4	SGO2
SLC25A14	AC002480.3
GMNN	SYS1-DBNDD2
CCNL1	LRRC20
METTL8	HSD17B10
SNX10	ZNF26
HAPLN2	RAB1B
RP11-215P8.3	RP11-752G15.6
MICA	EIF1AX
ZCCHC14	PICALM
DHX40	NFX1
PSMC2	SAMD12
AC007970.1	RPS6KA3
GFI1B	TMEM91
AC087477.1	UBE3B
CREB3L2	TNRC18
MATN2	SNRNP25
ASS1	RP11-244K5.6
LOC729609	SIX1
NREP	PLPP3
CAMKK2	CLUAP1
RHOB	LZTS1
FAM76A	TPGS2
LOC729739	DTYMK
KRT3	DIP2A
RUNX1T1	NTMT1
CADM1	PTPN13
CFLAR	CATG00000058209.1
CD302	LYST
LARP4B	RP11-486O12.2
RGN	RAD51AP1
SH3GLB1	MANBAL
NUPR1	HDDC2
AP001024.2	SEC63
FZD1	ADGRF5
MEIG1	GSTK1
SUGT1	RP5-900K19.2
TCF4	DNM2
WIPI1	EIF2B1
pri-3-hsa-mir-3130-2	TKT
VEZF1	ZNF506
LYRM1	MPC2
RP11-723D22.2	MST1R
CRYZL1	ZNF593
CACNA1H	MYRFL
CPSF2	SSU72
CD36	TRIP12
CDH5	PPAN-P2RY11
RP11-588H23.3	BANF2
ABRACL	ASMTL
NBN	ITGBL1
TMSB10	FURIN
PAPOLA	APLP2
MPG	LIG1
RP11-528N21.1	FETUB
NELFB	INTS6L
HNRNPDL	POLL
RP11-757G14.4	KDM4B
SECISBP2L	ZNF511-PRAP1
HEXDC	TPI1
MIXL1	PLGLB1
KIAA0408	RNF20
CISD2	GON4L
TUNAR	MITF
SPRED3	REXO4
MGST2	ATP5G1
ID1	SNORD96B
USP15	EIF3G
ZNF433	MND1
SLC37A3	MYRIP
CACNG7	EFNA4
STK4	UBE2E1
DYNC2LI1	PHRF1
MMP19	ASTE1
RASA2	ATP7B
pri-3-hsa-mir-6846	SOX30
RSPO4	TEX10
RUFY2	EPB41
MRPL23	MZT2A
IDE	RNF145
UBE2F	AC004941.3
POLR3F	hsa-mir-4294
PRKAR1A	ZIK1
SHISA5	CAMKK2
RAB18	ARNTL
SLC16A4	GRAMD3
CDC14A	CCDC107
PPM1K	FAM89B
ELOA	TUBB4A
ZBED5	PSMD8
PTPN1	FPGS
NR3C1	SNX30
RP11-552E20.1	TRIM24
CYP4X1	ADORA3
TMEM217	pri-3-hsa-mir-6747
PCMT1	hsa-mir-7111
ACHE	NRIP1
NEDD4L	NOSTRIN
NDRG2	RPS6KA2
RP11-396C23.2	ZBED1
DUSP2	EVI5
COPB1	IMP3
PNPLA8	OR2A7
RP11-352B15.1	RP11-325F22.3
ADH5	PRKCZ
CHRDL2	PLA2G2C
SPOP	IGF2BP2
ZNF267	LDB1
AP3S2	LINC00205
ST7	C21orf125
GNG5	GCFC2
PTK2	ENOSF1
BHLHE23	SCARF1
CDO1	TMEM208
AK3	HIST1H1C
ADI1	TUBGCP3
IL22	MAP2K3
UROC1	RNF165
PPFIBP1	NOD1
CLK1	ACSL3
NGLY1	ALG1L
TFPI	CCDC88C
MEIS2	pri-3-hsa-mir-6740
SNAPC1	SNRNP70
SEC61A2	PHKA1
CACNA2D4	PRPF4
CATG00000034808.1	AEBP1
TYROBP	pri-3-hsa-mir-708
C2orf40	NSMCE2
UNC93A	KCNC3
pri-3-hsa-mir-647	TNIP2
TMCO4	SLC23A1
PRPF31	PRB4
MORC2	RP11-24M17.7
C10orf128	LETMD1
RTKN	SLC22A13
CXorf40A	BTBD6
BTG3	MFSD2A
PSMC6	ATP5J2
RIOK2	DOCK8
TMCC1	ITGB6
HBE1	GDPD5
ARID3B	ARFRP1
ZHX1	RASSF10
TROVE2	BRE
TCEAL9	SURF4
S100A2	AC011747.7
EPS15	KIFC3
PRPF40A	RP11-9J18.1
C6orf62	FAAP20
DNM2	DCAF6
GSAP	CCDC170
DLST	CAMK2D
HOTAIRM1	UBE2O
SPNS1	DNAH9
SLC25A46	IRF3
FIP1L1	TMEM159
IP6K2	SNX19
IFRD1	CDK12
MTIF3	MAGIX
RTP4	FEN1
ENTPD5	UBE2D3
KIFC3	ARF5
RBM39	ATL2
pri-3-hsa-mir-5009	SNORA48B
TUBA1B	CLK2P1
KIRREL2	NOP9
CLEC14A	FCGR1B
TRIM13	CCNK
MIER1	ACTR5
XPA	PSG9
pri-3-hsa-mir-8071-2	RP11-3K16.2
TMEM5	ARID4B
MS4A4A	HSPBAP1
PRDX3	SAMD12
MADD	CHD1L
FAM177B	DAGLB
RP11-402J6.1	TCTN1
CATG00000072731.1	DNAJB2
SEC31A	TRIM24
TRIM8	SNORA80A
CPEB2	CDCA7
DOCK5	PPIE
RP11-182L21.6	SYTL1
SNX1	RARRES3
BORCS6	PLOD3
SSR2	CCDC191
CATG00000056151.1	EIF2B4
ATF3	CATG00000032947.1
AC009499.1	FNIP1
C20orf203	RNF145
TRPT1	TLE4
EIF3I	LRRC75A-AS1
FOS	TAGLN2
ATG5	AKAP9
EHD2	LHFPL2
TMEM258	SEC61A1
NASP	STAG2
TYW3	CARF
DST	DHRS4L2
RP11-129K20.2	GK
NPAT	DMTN
TCF3	GOT2
HOXA2	CATG00000004618.1
TNK2	pri-3-hsa-mir-6821
SNRNP40	RHOT1
TAF5L	44812
MON2	SLC16A5
SECISBP2	BLCAP
SMYD3	KDM4C
RALGAPA1	CTD-2192D1.1
TRIB1	ANKRD18B
PCDHAC2	CTTN
pri-5-hsa-mir-6867	PGM3
LAMP3	TMEM95
OTOS	NSUN4
SEMA3E	TSTD1
STARD8	PCBP2
TMEM106C	NEK3
RP11-281A20.3	STK32C
CA12	GNA13
MTHFS	ROPN1B
MGAT2	TMEM183A
POLR1C	NCOR1
CTB-50L17.10	KIAA0040
CLEC1B	TMED4
AC136290.1	TMEM9
NR3C1	DHPS
NDRG3	TMEM187
NXPH1	FAM189A1
LMCD1	UBXN8
RPAIN	SORBS2
hsa-mir-4509-1	CSRP2BP
ADGRG6	TBC1D23
TMEM251	PIP5K1C
RAB3IP	SPIN1
TSC1	PRKRIP1
UBASH3A	C12orf43
OSBPL7	IFT20
ATP6V1G2-DDX39B	CD74
BLZF1	IGLL5
TMEM18	SELENBP1
HACL1	CEP85
PRKD2	ZNHIT3
GPATCH2L	HIC2
pri-3-hsa-mir-4721	SCN1B
NAALADL1	WDFY3-AS2
DESI2	hsa-mir-4537
PML	PDXDC1
LAMTOR1	P2RX2
HAUS4	ZNF397
RAB1A	RCBTB2
LILRB5	C11orf49
KLC2	TMPO
pri-3-hsa-mir-4644	hsa-mir-3159
ACLY	MAP4K3
KLK15	SERINC2
CDKN2C	PDCD6
CEP97	CATSPER2
DLST	PHTF2
SH3D21	NTPCR
TCP11L1	RPS15
MRPL14	PIGG
HIST1H3B	HMBS
C2orf69	BTBD16
PAFAH1B3	MVK
ADARB1	AC092295.7
GPR35	SLC25A29
TTC39B	C16orf70
MAN1A2	ITGBL1
RP11-216L13.17	PKN2
VEZT	NR1H2
C14orf177	SLC36A4
ATP5H	DBNDD2
TTC19	SNAPIN
U2AF2	PASK
SUSD1	RBFOX1
ADAMTS2	USF2
SLC28A1	UXT
ASPSCR1	CCDC51
HAVCR2	C16orf89
AP5M1	TMEM161B
LYRM1	ACADS
RPN1	ARHGAP12
PTPN6	DBI
PDE4A	CTC1
NAPG	BEX3
ADRBK1	PITX2
HPS6	SNX24
TAF6L	PEA15
CATG00000087082.1	POLD1
FAM57A	AHNAK2
UQCR11	MAN2B1
ATXN3	THAP1
VAV2	TIMM10B
BTN2A1	HSP90AB1
KLF6	RP3-400N23.9
AC093326.3	NOP56
APC	VPS28
VSX1	UBL5
EIF6	pri-3-hsa-mir-668
SOCS6	BLZF1
CAV2	TTF1
TNFRSF12A	STK35
ZNF33A	ARFGEF2
INS	RPA4
MRPL16	PPP6R2
HELZ2	RARA
CTTN	EXOC7
RAB6A	HMGA1
REPS2	UTS2
RAB2A	GALNT12
CLDN10	SNORA80B
RP3-382I10.7	SCAPER
PCCB	AKAP9
ATP5S	SCGB3A1
MYO1F	SCNM1
pri-3-hsa-mir-190b	ZNF343
WDR44	RP11-835E18.2
CTD-3179P9.2	SKA2
ALG13	PTPN13
ARHGEF35	PTPRK
TUSC3	Z98049.1
TLR3	ZNF730
BOLL	FAM212A
S100A1	GRB2
KAT7	CENPL
FBXW7	CEACAM6
C12orf56	PLEKHB2
NCRNA00277	ZNF625-ZNF20
RARS2	SNX21
GUK1	TP53
DSTN	NUBP1
RP11-902B17.1	MRPL52
SMDT1	HIST1H1E
RARS2	NECAB3
ANO7	CATG00000072238.1
PSME1	ETAA1
ARID3B	NRG1
FAM45A	AC090421.1
RP11-385E5.4	C9orf114
SDCBP	VPS45
ALKBH2	APITD1-CORT
CCNA1	BLNK
PSMD2	TOM1L1
HERC4	UTP23
CD44	MIR100HG
AIG1	GAB3
RP11-490M8.1	WDR55
ZNF66	TRAPPC6A
DYNLT1	RF00432
MBD6	NAXD
USP53	PLK3
EFTUD2	C16orf13
CNOT6	FAM217B
SPOP	ARMC5
SMAGP	COLCA2
ZNF503	UBE2L6
LYRM1	MAP3K12
CATG00000066043.1	DNAJB5
HNRNPK	LMO3
PIANP	RPL7L1
SNORD13P1	ATF7
ARF4	PLOD1
RTFDC1	TTC21B
SRSF10	KPNA2
GIMAP8	MRPL52
CD164	CLASRP
FUT6	ILF3
pri-3-hsa-mir-1268b	LYPD5
N4BP2L2	PPM1G
TSPAN2	SMIM1
ARHGEF7	BLOC1S2
RP11-448G15.3	pri-3-hsa-mir-665
IGFBP4	PLOD1
ANTXR2	SRPRB
CPNE3	ITPR2
PITRM1	MCAT
HNRNPD	LOC100134868
C1QL2	pri-3-hsa-mir-3680-1
SLX1B-SULT1A4	SPRY2
TSPAN15	UBE4B
NASP	BCL2L11
MRPL45	SUGP2
BDNF	UBN1
RBCK1	MAP4K4
DNASE1L1	WDR76
CATG00000067579.1	SAP18
hsa-mir-150	NDRG1
RAMP3	hsa-mir-3685
TCF7L2	RFXANK
CHCHD7	ZNF304
ZNF573	SEMA4B
SMIM10L1	ARFGAP1
DOC2A	ARIH2OS
MEOX1	LOX
HEYL	FUCA2
CATG00000038300.1	PRLR
PLSCR1	ZNF383
MAP2	RNF121
LRRN1	ACTR6
PISD	MYO1B
PPP4R2	RBM26
POLR2F	TUBB
UIMC1	CCDC66
GRB7	DCTN2
AE000661.37	TCF12
PAUPAR	TFG
RRAGB	CATG00000112964.1
LILRA4	CASP7
USHBP1	MAN1B1-AS1
AL160286.1	TSKU
CTD-2313N18.5	C11orf57
PRELID2	ARHGAP12
LGALS9	RP11-554I8.1
P2RY1	SREK1
SSH1	MRPL43
ALYREF	ACOX3
TMEM255B	DNM1L
IL34	CACNB4
GLIPR2	RP4-545C24.1
HSPA2	BAG5
PIGH	CTSE
C7orf73	TK1
RP11-520M5.5	GOLGA3
SYNPR	OGFOD2
PURB	DDX42
LRRC4B	GRHL2
MTHFD2	CELF2
RCE1	PRMT1
DIAPH1	CDC20
ZNF519	PDPK1
KIAA1143	CLEC2D
RUNX1T1	MPP7
UBE2F	EZH1
RASGRP4	TLR2
NR2F1	UFC1
SPCS1	LARP1B
DUT	RP11-2C23.1
UFM1	ZFR
ACO1	SP140L
RAB18	DYNLRB1
COMT	CHCHD1
ABCG4	RIF1
MIR325HG	RNPS1
CTD-2006C1.2	DRAM2
UNC13D	USF2
PTMA	RAB4A
RNF183	RP4-564F22.2
SNORA24B	AC012485.1
SLMAP	PRB3
CSNK1A1	DDX55
CATG00000014867.1	C9orf16
PLIN2	MYCBP
NTM	RP11-768F21.1
RP11-411M4.1	GCH1
RBM19	RP11-429J17.2
DLG3	WDR5
JAKMIP2	AMH
SNHG6	RNF19B
TRIM5	IKZF3
ATP1A1	WDR53
NEMF	RANBP3
C22orf39	XXbac-BPG246D15.8
LTA	EVI2A
hsa-mir-1255b-1	CREB3
GLCE	COIL
ADAM11	ZNF195
HNRNPK	TBC1D16
LILRA6	TNNT3
EYA4	ZNF138
CCR8	IFT88
HSPH1	HIST1H2BN
C1QL1	ZNF174
YPEL4	RUNX1
ARHGAP39	RP11-35G9.3
PI4KB	CD63
LYRM1	MAT2B
NINJ1	GOLGA4
GM2A	RBM33
PTAFR	NDUFAF6
SCAMP1	UBR3
SNORA70G	ZBTB18
GINS4	STARD7
RMND1	TMEM102
GUCY1A3	C7orf49
SPCS2	VPS28
DHCR24	pri-3-hsa-mir-4435-2
MAFG	SNORA80E
PTPN1	SLAMF7
CACNA2D2	MIA2
ACTR3B	OSGIN1
EED	ZNRF1
RPL36	UBE2E1
CMAS	ITGA4
RF00012	SLC39A6
NSMCE1	YLPM1
pri-3-hsa-mir-6081	DHX29
FAM138C	AC013267.2
JADE1	CYP2C18
PSPC1	PIGG
FBXL5	IRF5
CTB-50L17.10	DEGS2
FXR1	GUK1
HMGCR	YAP1
DNAJC24	WDR54
TM4SF1	LRRC75A-AS1
ERVK3-1	ZNF790
RPL26L1	NAA60
SCFD1	RP11-706O15.1
SREBF1	HHIPL1
MED27	TRIM45
WIPI2	SBK3
GPALPP1	KRT8
LBHD1	FAM173B
GCOM1	CNNM2
YIPF6	AC068580.6
CATG00000041247.1	LIMK1
LOC494141	KLHL24
PTPRB	UNKL
SARAF	CAPRIN2
TNFSF9	SLC4A3
STK24	RFC1
FAM83A	ZDHHC16
EIF3J	AC008062.1
EDN2	PDE4DIP
SHROOM4	USE1
WASF2	MAML3
TCAF2	RAB22A
SGK3	RPL7A
RP5-1103G7.4	CEP250
CATG00000099282.1	RAPGEF1
SDE2	RPS6KB1
CYBRD1	TIMM9
SGMS2	EZH2
PRKG1	RPL10A
C16orf52	KRBOX4
MDFIC	WDR48
ST7	CAPN8
CKLF-CMTM1	PRRG1
UBXN11	TEAD3
RHO	CDK16
ZNF836	METTL15
HNRNPD	LHX5
MTERFD3	AC007179.1
COL12A1	CADM1
PEF1	PELI1
C20orf24	44812
SNAP23	SLC5A6
TCF4	PLEKHB2
RASGRP4	CDKN2AIP
KCNK2	HIPK1
NDUFB6	ZUFSP
ITGA1	ZNF713
pri-3-hsa-mir-6761	PATZ1
CEP126	MECP2
ZNF200	BAZ1B
NDUFS2	ZFP30
VMA21	C8orf59
TMEM14B	MMP12
ZSWIM8	MARK1
PLAA	HM13
SLC1A2	RP11-887P2.1
IL15	TNNT1
OR10H4	PELP1
TCF12	hsa-mir-3178
PFKFB3	NPSR1
44623	E2F3
FTL	RGS3
PPP2R5C	ARMCX6
INTS12	PILRB
IQGAP2	CTC-338M12.3
FBXO36	CYTH1
NOXO1	NOL12
ZNF821	TASP1
FAM103A1	RABGEF1
SHE	ZNF653
RBP1	BAG3
RARS2	WDR4
F3	CHD3
AREL1	FAM133B
PSMD4	RP11-941F15.1
CDH16	FAM193A
SLTM	PRKRA
LRRC8A	RP11-66N24.4
LYPD5	GART
ALDH1A1	CCNA2
TMBIM4	TMEM88
MRPL4	CYBA
PGPEP1	PAOX
SNORD91B	OR5M1
LDB1	FLVCR1-AS1
RP5-877J2.1	BAZ1A
IL7R	PAPD4
CATG00000034518.1	TNKS1BP1
CD300LG	C1orf43
PARVB	NSRP1
RP11-34A14.3	RMDN1
RP11-909M7.3	PYCR2
STAT3	RP11-438J1.1
RASSF8	PPP6R3
CHODL	CEP63
MALT1	TEAD2
FBXO34	AC018766.5
ILF3	ZNF567
CGNL1	SF1
DOLK	LOC729732
RNF141	RANBP2
DPF1	ZNF609
PPA2	FLAD1
P2RX2	PPARD
ALDH6A1	MPPE1
JKAMP	HIP1
RAB11FIP1	ATF3
BTN3A3	ARPC4
POLR2K	TRIM4
NAAA	RBMX
TNFRSF12A	RASGRP2
PRELID3A	GPBP1
MTIF3	UBE2D3
GUCA2A	FGF2
ZC3HAV1	NAPRT
MEIS2	BRE
SLC5A11	COL14A1
SLC33A1	C6orf52
PPARA	CCDC186
TEX38	PNPO
DDX11	PGBD5
LAPTM4A	ETFDH
RASSF5	DMWD
DMRTA2	SYNE2
CD1D	ZNF783
SPG21	RIC8B
YBX3	SBNO1
PPP3CB	CHEK1
RP11-513O17.3	CARF
SLA	GSDMB
PSMB1	NSRP1
MAP4	FH
SLC16A3	CABP2
CA10	THNSL2
HPGDS	THADA
LARGE	LTV1
CATG00000040980.1	RAF1
RGR	LOC389765
PPP2R5C	ZC3HC1
SAR1B	RP11-80H18.3
PRICKLE1	POLR2H
PTTG1	GRAMD3
GLCE	PMEL
CIDEB	MR1
PQLC3	RPS18
NEK6	SLC25A27
SORT1	RF00406
ZPBP2	NOXA1
RAB15	CATG00000056264.1
C19orf38	PPP6R2
LOC102724156	CCDC189
GTF2B	CPEB4
RCHY1	TACC2
CATG00000003943.1	CAPN8
RBM18	RAB5B
FXYD5	CNTRL
CALCOCO2	CATG00000026276.1
CLCN3	DR1
KRTAP4-16P	MAPK14
DCUN1D5	ATP5J2
CATG00000040187.1	LOC101928663
SH3BP1	pri-5-hsa-mir-6777
TRAPPC2B	KALRN
MTO1	METTL15
OSBPL3	PRPF40A
FAM63A	HIST2H2BF
HARS2	WDR45
NUDT21	GCN1
HOTAIR	MPP7
FN1	ZNF415
TMEM139	EARS2
PXYLP1	NDUFAF6
LOC103021295	NOL8
SOX5	PIK3R4
MLLT10	pri-3-hsa-mir-96
CENPQ	ARHGEF10L
